Latitude,Longitude
-37.922617,146.8273351
-33.3591223,116.1536169
-36.3997442,145.3993485
-24.582608,151.5838026
-36.229654,147.0948726
-26.5483825,152.3730467
-32.6272614,138.5915494
-34.3868109,137.4701806
-35.3528151,149.0622152
-21.154184,149.1977231
-34.9889082,138.5521769
-36.7445836,174.4335188
-35.3711872,138.9093358
53.99983,-125.0032
-30.0818,152.1929
-30.8168885,121.4373732
-33.4872222,150.1563889
-37.766903,148.2530105
-34.5225488,149.8352015
42.2888675,-93.7960553
-37.907119,147.8332926
-17.911804,145.9517094
-41.284136,174.962942
52.8259083,-1.8020448
-37.7308769,140.3195743
46.7880302,21.7732556
53.99983,-125.0032
-37.1015186,143.5683059
-30.1697551,151.0739435
52.599891,1.7219733
61.0788892,-133.8358388
-30.800737,116.0710711
-33.6325997,151.2763618
-26.010225,152.8601501
-33.5402435,135.3849446
-34.1888058,144.7224775
-27.5147675,152.5610759
-37.9359421,145.4932503
-32.3233333,148.6011111
-34.9019537,139.5848144
-37.852382,147.8941063
56.1736596,-5.5677763
-32.8706568,117.9040308
-35.0753161,139.2647552
1.436897,103.786216
-34.8875674,139.3626729
-28.6005882,153.0978539
40.4086802,-80.0833885
-32.2983333,149.7927778
-28.537896,150.6667391
-35.3642356,139.0467097
39.8195464,-76.5766337
-37.877249,145.0425176
-39.392223,176.832106
50.416667,-4.75
-27.450162,153.0126695
-34.8389257,138.4828377
-38.568373,143.4349477
31.1991806,29.8951716
-33.6719686,151.1145291
-34.0200181,151.1226751
-16.2402675,145.358658
-28.052458,153.4218922
-32.0521151,152.2606101
50.7299865,-1.1603699
-38.1392967,144.3450387
53.9311372,-2.7590004
-37.0101785,146.2241572
-16.3351186,141.5571965
56.5617885,-5.3584857
-30.4650509,152.9206699
-27.6013593,152.7698886
-35.8709804,149.3650107
-36.0157009,144.9613869
37.4299388,-122.253855
-28.0393405,151.3007564
50.7255794,-3.5269497
-31.8174964,128.2255045
19.2396742,73.1366482
-35.1133333,147.3155556
53.1801492,-6.7981931
-33.4483333,149.5844444
33.5130695,36.3095814
-29.6500186,116.3647602
-27.5232672,153.2214907
-33.8646786,114.9881592
-32.1711892,152.2811928
-41.4096913,145.9645968
-28.2003,153.5349368
-35.5051976,139.5088582
-16.920121,145.7225399
40.8171433,114.8782861
-37.7847711,175.2770707
-31.84,152.4511111
-27.3505145,153.4201692
29.8832105,-97.6736292
-32.3040595,115.7286309
-37.3058825,144.5292089
-36.7740092,144.3802236
-33.365,150.9511111
42.1617681,-70.7939307
-28.040064,152.6185218
-35.645308,146.3016046
-22.0030414,148.0432658
-38.2221065,143.0287049
42.1709373,-92.3062052
43.6276486,-73.5497736
-33.0306092,149.9029489
-37.72093,144.9613325
-30.0153035,116.1647185
-27.8865765,151.7814035
-33.9824013,151.1461479
-38.2452578,144.1725521
48.513074,-101.220714
-34.1328075,117.8886776
-34.1927742,140.8877237
51.2531012,-0.1648582
-30.9983333,152.9011111
-41.17075,148.22548
17.9712148,-76.7928128
-34.9148333,138.5132516
55.8645964,-4.3075465
-37.6041545,142.624926
-37.21721,142.2619001
-35.53422,143.1812204
-16.7106845,145.4032722
-32.371424,148.52475
-33.2316667,151.4677778
-35.0870533,137.7424327
41.8119602,-79.2654452
-27.4973485,152.70299
-34.0860657,137.5826196
53.2593422,-1.9100768
-42.504035,147.9139308
-33.6383333,150.7980556
-28.3913889,152.6122222
-33.6397464,151.2911746
-36.0816667,148.9344444
-38.112838,147.0233756
-31.505,150.6366667
-33.5238945,151.203356
-32.3711012,149.3163853
48.6721731,-3.3457423
-32.9983333,149.4177778
-35.1687386,138.4858725
